Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,Winter_Jan_Feb,Pre_Monsoon_Mar_May,Monsoon_Jun_Sep,Post_Monsoon_Oct_Dec
1997,15.8,28.2,74.9,84.5,147.2,371.5,469.5,328.6,302.6,42.0,25.4,34.8,1925.0,44.0,306.7,1472.3,102.1
1998,30.6,33.8,111.4,103.9,179.1,366.6,520.5,465.0,250.7,151.9,37.6,0.7,2251.9,64.4,394.5,1602.8,190.2
1999,2.7,1.4,20.7,69.4,272.2,351.6,470.5,429.9,292.4,185.6,14.1,4.1,2114.6,4.1,362.4,1544.3,203.8
2000,18.8,29.2,60.1,154.2,243.2,368.3,334.7,337.3,359.9,73.9,17.5,1.9,1999.3,48.1,457.5,1400.3,93.4
2001,11.1,26.9,47.0,105.7,195.0,351.1,327.9,266.6,254.3,188.4,19.2,2.9,1796.1,38.0,347.8,1199.8,210.5
2002,28.6,11.5,56.1,144.7,189.5,323.6,443.4,300.9,251.0,65.6,38.6,6.0,1859.6,40.1,390.3,1318.9,110.2
2003,10.1,41.8,68.1,112.4,143.7,387.5,407.4,292.9,234.2,218.2,10.2,16.1,1942.6,52.0,324.2,1322.0,244.5
2004,16.5,12.8,52.5,177.2,190.4,339.3,533.5,286.9,264.0,184.0,4.0,4.8,2065.9,29.2,420.1,1423.8,192.9
2005,22.8,45.6,117.6,104.8,149.2,236.2,383.5,355.1,189.9,170.6,9.1,3.6,1788.2,68.5,371.7,1164.8,183.3
2006,1.4,28.2,24.2,101.0,224.4,337.8,374.8,240.7,289.4,63.1,21.8,6.6,1713.4,29.6,349.7,1242.6,91.5
2007,4.6,61.5,30.6,145.7,162.6,339.7,584.0,345.7,423.5,101.3,31.2,4.6,2235.0,66.1,338.9,1692.9,137.1
2008,38.1,15.6,56.4,90.3,137.0,390.6,425.3,388.6,211.5,91.4,2.6,1.2,1848.8,53.8,283.7,1416.0,95.3
2009,5.4,19.3,28.3,70.5,182.3,197.6,316.3,378.8,206.4,110.9,15.5,4.3,1535.7,24.7,281.1,1099.1,130.7
